 -8.9550e+00  1.1111e-04
 -8.8650e+00  1.1111e-04
 -8.7750e+00  1.1111e-04
 -8.6850e+00  0.0000e+00
 -8.5950e+00  1.1111e-04
 -8.5050e+00  4.4445e-04
 -8.4150e+00  4.4445e-04
 -8.3250e+00  3.3334e-04
 -8.2350e+00  5.5556e-04
 -8.1450e+00  4.4445e-04
 -8.0550e+00  8.8890e-04
 -7.9650e+00  1.4445e-03
 -7.8750e+00  1.1111e-03
 -7.7850e+00  1.4445e-03
 -7.6950e+00  2.0000e-03
 -7.6050e+00  2.6667e-03
 -7.5150e+00  2.6667e-03
 -7.4250e+00  4.7778e-03
 -7.3350e+00  4.0000e-03
 -7.2450e+00  4.7778e-03
 -7.1550e+00  6.5556e-03
 -7.0650e+00  7.3334e-03
 -6.9750e+00  9.5557e-03
 -6.8850e+00  1.2667e-02
 -6.7950e+00  1.5445e-02
 -6.7050e+00  2.1334e-02
 -6.6150e+00  2.1000e-02
 -6.5250e+00  2.8778e-02
 -6.4350e+00  3.6000e-02
 -6.3450e+00  4.5223e-02
 -6.2550e+00  5.2667e-02
 -6.1650e+00  6.6890e-02
 -6.0750e+00  7.7001e-02
 -5.9850e+00  9.7112e-02
 -5.8950e+00  1.2456e-01
 -5.8050e+00  1.4656e-01
 -5.7150e+00  1.7900e-01
 -5.6250e+00  2.1278e-01
 -5.5350e+00  2.7267e-01
 -5.4450e+00  3.0223e-01
 -5.3550e+00  3.4800e-01
 -5.2650e+00  4.1389e-01
 -5.1750e+00  4.5945e-01
 -5.0850e+00  5.4289e-01
 -4.9950e+00  6.0323e-01
 -4.9050e+00  6.5845e-01
 -4.8150e+00  6.8790e-01
 -4.7250e+00  7.5856e-01
 -4.6350e+00  8.0467e-01
 -4.5450e+00  8.3979e-01
 -4.4550e+00  9.0890e-01
 -4.3650e+00  9.9179e-01
 -4.2750e+00  1.0750e+00
 -4.1850e+00  1.1911e+00
 -4.0950e+00  1.3419e+00
 -4.0050e+00  1.5332e+00
 -3.9150e+00  1.7304e+00
 -3.8250e+00  2.0259e+00
 -3.7350e+00  2.3050e+00
 -3.6450e+00  2.6797e+00
 -3.5550e+00  3.0823e+00
 -3.4650e+00  3.5179e+00
 -3.3750e+00  4.0645e+00
 -3.2850e+00  4.5432e+00
 -3.1950e+00  5.0894e+00
 -3.1050e+00  5.6432e+00
 -3.0150e+00  6.1052e+00
 -2.9250e+00  6.6335e+00
 -2.8350e+00  7.0707e+00
 -2.7450e+00  7.4289e+00
 -2.6550e+00  7.7554e+00
 -2.5650e+00  7.8886e+00
 -2.4750e+00  7.9163e+00
 -2.3850e+00  7.8402e+00
 -2.2950e+00  7.6060e+00
 -2.2050e+00  7.3742e+00
 -2.1150e+00  6.9666e+00
 -2.0250e+00  6.4560e+00
 -1.9350e+00  5.9258e+00
 -1.8450e+00  5.3242e+00
 -1.7550e+00  4.6766e+00
 -1.6650e+00  4.1269e+00
 -1.5750e+00  3.5515e+00
 -1.4850e+00  2.9559e+00
 -1.3950e+00  2.4665e+00
 -1.3050e+00  1.9941e+00
 -1.2150e+00  1.5860e+00
 -1.1250e+00  1.2356e+00
 -1.0350e+00  9.7845e-01
 -9.4500e-01  7.3012e-01
 -8.5500e-01  5.5345e-01
 -7.6500e-01  4.1523e-01
 -6.7500e-01  2.9689e-01
 -5.8500e-01  2.4222e-01
 -4.9500e-01  1.9745e-01
 -4.0500e-01  1.8089e-01
 -3.1500e-01  1.7578e-01
 -2.2500e-01  1.7456e-01
 -1.3500e-01  1.7711e-01
 -4.5000e-02  2.0122e-01
