  1    1
  2   -1
  3    1
  4    1
  5   -3
  6   -4
  7    1
  8    1
  9    1
 10   -7
 11   -8
 12   -9
 13    1
 14    1
 15    1
 16    1
 17  -16
 18    1
 19    1
 20    1
 21  -18
 22  -19
 23  -20
 24    1
 25    1
 26    1
 27    1
 28  -24
 29  -25
 30  -26
 31  -27
 32    1
 33    1
 34    1
 35    1
 36    1
 37    1
 38    1
 39    1
 40    1
 41    1
 42  -25
 43  -24
 44  -26
 45  -27
 46    1
 47  -46
 48    1
 49    1
 50    1
 51    1
 52    1
 53  -35
 54  -36
 55  -37
 56  -38
 57  -39
 58  -40
 59  -41
 60  -25
 61  -24
 62  -26
 63  -27
 64  -46
 65  -46
 66  -48
 67  -49
 68  -50
 69  -51
 70  -52
 71  -16
 72  -16
 73  -18
 74  -19
 75  -20
 76  -18
 77  -19
 78  -20
 79  -33
 80  -32
 81  -34
 82  -35
 83  -36
 84  -37
 85  -38
 86  -39
 87  -40
 88  -41
 89  -50
 90  -49
 91  -51
 92  -52
 93  -35
 94  -36
 95  -37
 96  -38
 97  -39
 98  -40
 99  -41
100  -50
101  -49
102  -51
103  -52
104    1
105    1
106 -104
107 -105
108    1
109    1
110 -108
111 -109
112 -104
113 -105
114 -104
115 -105
116 -108
117 -109
118 -108
119 -109
120    1
121    1
122 -120
123 -121
124    1
125 -124
