  1    1
  2    1
  3   -1
  4   -2
  5    1
  6   -5
  7    1
  8    1
  9    1
 10    1
 11    1
 12    1
 13    1
 14    1
 15  -11
 16  -12
 17  -14
 18  -13
 19    1
 20    1
 21    1
 22    1
 23    1
 24    1
 25    1
 26    1
 27  -26
 28    1
 29    1
 30    1
 31    1
 32    1
 33    1
 34    1
 35    1
 36    1
 37  -19
 38  -20
 39  -21
 40  -22
 41  -23
 42  -24
 43  -25
 44  -26
 45  -26
 46  -28
 47  -29
 48  -30
 49  -31
 50  -32
 51  -33
 52  -34
 53  -35
 54  -36
 55    1
 56  -55
 57    1
 58    1
 59  -57
 60  -58
 61  -31
 62  -30
 63  -32
 64  -31
 65  -30
 66  -32
 67    1
 68    1
 69    1
 70  -19
 71  -20
 72  -21
 73  -22
 74  -23
 75  -24
 76  -25
 77  -34
 78  -33
 79  -35
 80  -36
 81  -19
 82  -20
 83  -21
 84  -22
 85  -23
 86  -24
 87  -25
 88  -34
 89  -33
 90  -35
 91  -36
 92  -55
 93  -55
 94  -57
 95  -58
 96  -57
 97  -58
 98  -68
 99  -67
100  -69
101    1
102    1
103 -101
104 -102
105    1
106    1
107 -105
108 -106
109    1
110    1
111 -109
112 -110
113    1
114 -113
115 -109
116 -110
117 -109
118 -110
119 -113
120 -113
